Run Script Log: hidden_state = 256, input_state = 256, epoch = 20, data rows = 13679, save path = save/model_256.tch
You should call this after loading model parameters
Start train, epoch = 20
Start epoch0
Inited s-bert model using paraphrase-distilroberta-base-v1
1/13679, now: 2021-01-10 20:19:49
2/13679, now: 2021-01-10 20:19:50
3/13679, now: 2021-01-10 20:19:51
4/13679, now: 2021-01-10 20:19:52
5/13679, now: 2021-01-10 20:19:53
6/13679, now: 2021-01-10 20:19:57
7/13679, now: 2021-01-10 20:19:58
8/13679, now: 2021-01-10 20:19:58
9/13679, now: 2021-01-10 20:20:00
10/13679, now: 2021-01-10 20:20:00
11/13679, now: 2021-01-10 20:20:06
12/13679, now: 2021-01-10 20:20:08
13/13679, now: 2021-01-10 20:20:08
14/13679, now: 2021-01-10 20:20:10
15/13679, now: 2021-01-10 20:20:11
16/13679, now: 2021-01-10 20:20:12
17/13679, now: 2021-01-10 20:20:13
18/13679, now: 2021-01-10 20:20:14
19/13679, now: 2021-01-10 20:20:15
20/13679, now: 2021-01-10 20:20:16
21/13679, now: 2021-01-10 20:20:17
22/13679, now: 2021-01-10 20:20:18
23/13679, now: 2021-01-10 20:20:18
24/13679, now: 2021-01-10 20:20:19
25/13679, now: 2021-01-10 20:20:20
26/13679, now: 2021-01-10 20:20:21
27/13679, now: 2021-01-10 20:20:22
28/13679, now: 2021-01-10 20:20:23
29/13679, now: 2021-01-10 20:20:24
30/13679, now: 2021-01-10 20:20:26
31/13679, now: 2021-01-10 20:20:27
32/13679, now: 2021-01-10 20:20:30
33/13679, now: 2021-01-10 20:20:31
34/13679, now: 2021-01-10 20:20:32
35/13679, now: 2021-01-10 20:20:33
36/13679, now: 2021-01-10 20:20:36
37/13679, now: 2021-01-10 20:20:36
38/13679, now: 2021-01-10 20:20:36
39/13679, now: 2021-01-10 20:20:36
40/13679, now: 2021-01-10 20:20:37
41/13679, now: 2021-01-10 20:20:37
42/13679, now: 2021-01-10 20:20:38
43/13679, now: 2021-01-10 20:20:42
44/13679, now: 2021-01-10 20:20:45
45/13679, now: 2021-01-10 20:20:46
46/13679, now: 2021-01-10 20:20:47
47/13679, now: 2021-01-10 20:20:47
48/13679, now: 2021-01-10 20:20:49
49/13679, now: 2021-01-10 20:20:50
50/13679, now: 2021-01-10 20:20:51
51/13679, now: 2021-01-10 20:20:51
52/13679, now: 2021-01-10 20:20:53
53/13679, now: 2021-01-10 20:20:54
54/13679, now: 2021-01-10 20:20:55
55/13679, now: 2021-01-10 20:21:01
56/13679, now: 2021-01-10 20:21:03
57/13679, now: 2021-01-10 20:21:05
58/13679, now: 2021-01-10 20:21:14
59/13679, now: 2021-01-10 20:21:17
60/13679, now: 2021-01-10 20:21:17
61/13679, now: 2021-01-10 20:21:20
62/13679, now: 2021-01-10 20:21:20
63/13679, now: 2021-01-10 20:21:21
64/13679, now: 2021-01-10 20:21:22
65/13679, now: 2021-01-10 20:21:23
66/13679, now: 2021-01-10 20:21:24
67/13679, now: 2021-01-10 20:21:25
68/13679, now: 2021-01-10 20:21:26
69/13679, now: 2021-01-10 20:21:26
70/13679, now: 2021-01-10 20:21:28
